FID,Property,Area,Status,Name,Old_name,RT_status,r_raster3,ARRIVE_MCP,POINT_X,POINT_Y,IPA,art_nat,Perimeter,Type,Purpose
1,Wallal Downs,8.9721,Current,Irrigation, , ,823,0,-1219804.085,-2195191.371,0,1,13940,1,Irrigation
2,Nita Downs,6.0236,Future,Irrigation, , ,1497,0,-1084103.934,-2086340.875,0,1,10543,2,Irrigation
3,Shalemar,13.688,Current,Irrigation, , ,1525,0,-1077895.601,-2075233.291,0,1,16014,1,Irrigation
4,Shamrock,23.073,Future,Irrigation, , ,1724,0,-1047700.483,-2019956.64,0,1,21260,2,Irrigation
5,Shamrock Gardens,3.1233,Current,Irrigation, , ,1747,0,-1053415.09,-2027728.915,0,1,7706,1,Irrigation
6,Pardoo,0.809,Current,Irrigation,,,533,0,-1293475.91,-2219175.26,0,1,4510,1,Irrigation
7,Anna Plains,0,Tank,McPhee Well, , ,1495,0,-1098123.832,-2087393.315,0,1,0,1,Artificial
8,Anna Plains,0,Tank,Almos Bore, , ,1496,0,-1092155.39,-2086327.082,0,1,0,1,Artificial
9,Anna Plains,0,Tank,Calanjadie Well, , ,1468,0,-1096249.442,-2091240.98,0,1,0,1,Artificial
10,Anna Plains,0,Tank,Nummery Well, , ,1413,0,-1097484.626,-2098139.919,0,1,0,1,Artificial
11,Anna Plains,0,Tank,Bauhinia Bore, , ,1385,0,-1092708.061,-2100571.769,0,1,0,1,Artificial
12,Anna Plains,0,Tank,Cardingy Bore, , ,1383,0,-1099620.582,-2103807.182,0,1,0,1,Artificial
13,Anna Plains,0,Tank,No 4 Bore, , ,1385,0,-1088335.219,-2102999.269,0,1,0,1,Artificial
14,Anna Plains,0,Tank,Homestead Bore, , ,1383,0,-1100717.401,-2106472.8,0,1,0,1,Artificial
15,Anna Plains,0,Tank,Pindan Bore, , ,1355,0,-1094343.793,-2107075.661,0,1,0,1,Artificial
16,Anna Plains,0,Tank,Yellow Gap Well, , ,1355,0,-1097219.872,-2110486.952,0,1,0,1,Artificial
17,Anna Plains,0,Bore,Artesian Bore, , ,1355,0,-1097785.444,-2106554.681,0,1,0,1,Artificial
18,Anna Plains,0,Tank,Rachel Poly, , ,1354,0,-1101435.196,-2112534.016,0,1,0,1,Artificial
19,Anna Plains,0,Tank,Pinchers Poly, , ,1323,0,-1105045.329,-2114703.889,0,1,0,1,Artificial
20,Anna Plains,0,Tank,Helen Poly, , ,1353,0,-1107458.965,-2110819.828,0,1,0,1,Artificial
21,Anna Plains,0,Tank,Dusty Poly, , ,1323,0,-1108231.452,-2114711.968,0,1,0,1,Artificial
22,Anna Plains,0,Tank,Bevan Fibreglass, , ,1321,0,-1112023.761,-2115436.198,0,1,0,1,Artificial
23,Anna Plains,0,Tank,Poly Tank, , ,1325,0,-1092255.522,-2115282.68,0,1,0,1,Artificial
24,Anna Plains,0,Tank,Poly Tank, , ,1324,0,-1098794.258,-2118217.362,0,1,0,1,Artificial
25,Anna Plains,0,Bore,Mono Bore, , ,1293,0,-1102705.444,-2118925.621,0,1,0,1,Artificial
26,Anna Plains,0,Tank,Erinbee Tank, , ,1292,0,-1104192.992,-2120151.027,0,1,0,1,Artificial
27,Anna Plains,0,Tank,Top Tank, , ,1323,0,-1105212.65,-2116750.701,0,1,0,1,Artificial
28,Anna Plains,0,Tank,2 Mile Tank, , ,1323,0,-1107012.982,-2117571.104,0,1,0,1,Artificial
29,Anna Plains,0,Dam,Ian Turkey Nest, , ,1321,0,-1109443.745,-2117997.853,0,1,0,2,Artificial
30,Anna Plains,0,Dam,Yup Turkey Nest, , ,1290,0,-1112491.04,-2120652.369,0,1,0,2,Artificial
31,Anna Plains,0,Tank,Curly Bore, , ,1260,0,-1103980.076,-2124750.876,0,1,0,1,Artificial
32,Anna Plains,0,Tank,Blues Poly, , ,1290,0,-1108557.461,-2123178.605,0,1,0,1,Artificial
33,Anna Plains,0,Dam,Dundee Turkey Nest, , ,1290,0,-1113662.119,-2123191.77,0,1,0,2,Artificial
34,Anna Plains,0,Tank,Three Ways Bore, , ,1293,0,-1099724.144,-2123206.56,0,1,0,1,Artificial
35,Anna Plains,0,Bore,Nurdy Bore, , ,1258,0,-1109353.754,-2129263.441,0,1,0,1,Artificial
36,Anna Plains,0,Dam,Nurdy Turkey Nest, , ,1258,0,-1109653.928,-2129396.187,0,1,0,2,Artificial
37,Anna Plains,0,Tank,Nurdy Poly, , ,1258,0,-1111235.826,-2128258.604,0,1,0,1,Artificial
38,Anna Plains,0,Tank,Simone Poly, , ,1257,0,-1114123.654,-2126202.449,0,1,0,1,Artificial
39,Anna Plains,0,Bore,Srewarts Bore, , ,1225,0,-1111943.907,-2133369.627,0,1,0,1,Artificial
40,Anna Plains,0,Tank,Stewarts Poly, , ,1224,0,-1113440.736,-2131935.92,0,1,0,1,Artificial
41,Anna Plains,0,Dam,Stewarts Turkey Nest, , ,1257,0,-1116267.834,-2129584.586,0,1,0,2,Artificial
42,Anna Plains,0,Tank,No 1 Tank, , ,1256,0,-1119211.54,-2126899.097,0,1,0,1,Artificial
43,Anna Plains,0,Bore,Dallas Bore, , ,1224,0,-1113133.145,-2134520.242,0,1,0,1,Artificial
44,Anna Plains,0,Tank,Concrete Tank, , ,1225,0,-1111911.514,-2133073.068,0,1,0,1,Artificial
45,Anna Plains,0,Tank,Jo Poly, , ,1224,0,-1115277.735,-2134761.289,0,1,0,1,Artificial
46,Anna Plains,0,Dam,Addison Turkey Nest, , ,1223,0,-1118536.362,-2132896.068,0,1,0,2,Artificial
47,Anna Plains,0,Dam,Ocean Turkey Nest, , ,1256,0,-1122027.923,-2130895.213,0,1,0,2,Artificial
48,Anna Plains,0,Bore,Joseph Bore, , ,1225,0,-1109772.318,-2134864.019,0,1,0,1,Artificial
49,Anna Plains,0,Bore,Widjub Bore, , ,1224,0,-1114568.814,-2136998.436,0,1,0,1,Artificial
50,Anna Plains,0,Tank,Widjub Poly, , ,1224,0,-1114982.15,-2136828.656,0,1,0,1,Artificial
51,Anna Plains,0,Dam,Deans Turkey Nest, , ,1223,0,-1119128.225,-2137131.271,0,1,0,2,Artificial
52,Anna Plains,0,Dam,Jacks Turkey Nest, , ,1223,0,-1122570.316,-2135236.528,0,1,0,2,Artificial
53,Anna Plains,0,Tank,Phoebe Poly, , ,1222,0,-1125729.351,-2133680.452,0,1,0,1,Artificial
54,Anna Plains,0,Bore,Rocky Bore 1, , ,1190,0,-1116158.099,-2143101.918,0,1,0,1,Artificial
55,Anna Plains,0,Tank,Links Concrete Tank, , ,1190,0,-1116243.786,-2142622.232,0,1,0,1,Artificial
56,Anna Plains,0,Dam,Butch Turkey Nest, , ,1223,0,-1123352.905,-2137905.734,0,1,0,2,Artificial
57,Anna Plains,0,Dam,Tim Turkey Nest, , ,1189,0,-1120577.214,-2140830.757,0,1,0,2,Artificial
58,Anna Plains,0,Bore,Rockys Bore 2, , ,1154,0,-1116039.76,-2143595.596,0,1,0,1,Artificial
59,Anna Plains,0,Tank,Rocky Fibreglass Tank, , ,1153,0,-1120275.424,-2144561.022,0,1,0,1,Artificial
60,Anna Plains,0,Tank,Fly Fibreglass Tank, , ,1153,0,-1122024.861,-2143885.14,0,1,0,1,Artificial
61,Anna Plains,0,Dam,Marks Turkey Nest, , ,1189,0,-1122831.972,-2143105.793,0,1,0,2,Artificial
62,Anna Plains,0,Dam,Samphire Turkey Nest, , ,1188,0,-1126362.187,-2141745.811,0,1,0,2,Artificial
63,Anna Plains,0,Bore,McGoo Bore, , ,1153,0,-1118095.991,-2147540.775,0,1,0,1,Artificial
64,Anna Plains,0,Tank,Richard Poly, , ,1152,0,-1126114.986,-2147073.786,0,1,0,1,Artificial
65,Anna Plains,0,Tank,Eva Poly, , ,1187,0,-1128828.619,-2144008.295,0,1,0,1,Artificial
66,Anna Plains,0,Tank,Judith Poly, , ,1151,0,-1131236.247,-2146130.098,0,1,0,1,Artificial
67,Anna Plains,0,Bore,MRD Bore, , ,1116,0,-1117381.944,-2151428.363,0,1,0,1,Artificial
68,Anna Plains,0,Tank,Scotland Fibreglass Tank, , ,1116,0,-1118905.27,-2150270.255,0,1,0,1,Artificial
69,Anna Plains,0,Tank,England Fibreglass Tank, , ,1115,0,-1123762.877,-2150384.226,0,1,0,1,Artificial
70,Anna Plains,0,Tank,Wales Fibreglass Tank, , ,1115,0,-1127183.846,-2151070.821,0,1,0,1,Artificial
71,Anna Plains,0,Dam,James Turkey Nest, , ,1076,0,-1123175.562,-2157077.619,0,1,0,2,Artificial
72,Anna Plains,0,Bore,Wotans Bore, , ,1033,0,-1132351.782,-2165025.5,0,1,0,1,Artificial
