"","FID","Property","Area","Status","Name","Old_name","RT_status","r_raster3","ARRIVE_MCP","POINT_X","POINT_Y","IPA","art_nat","Perimeter","Type","Purpose","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","Distance","Conversion","Maintenance"
"823",1,"Wallal Downs",8.9721,"Current","Irrigation"," "," ",823,0,-1219804.085,-2195191.371,0,1,13940,1,"Irrigation",15,27,25,29,25,35,34,44,31,49,57,38,18,26,32,17,49,27,31,33,178.2613948,0,1749559.5
"1497",2,"Nita Downs",6.0236,"Future","Irrigation"," "," ",1497,0,-1084103.934,-2086340.875,0,1,10543,2,"Irrigation",22,37,23,35,30,45,37,49,46,50,72,40,27,30,45,26,68,40,34,38,148.1204961,0,1174602
"1525",3,"Shalemar",13.688,"Current","Irrigation"," "," ",1525,0,-1077895.601,-2075233.291,0,1,16014,1,"Irrigation",22,41,23,38,32,44,39,49,46,58,73,43,27,32,48,27,68,42,35,42,135.5186901,993071.27803515,120207.127803515
"1724",4,"Shamrock",23.073,"Future","Irrigation"," "," ",1724,0,-1047700.483,-2019956.64,0,1,21260,2,"Irrigation",24,39,21,43,37,45,45,50,50,66,75,48,29,39,54,37,65,46,41,46,73.60863982,0,4499235
"1747",5,"Shamrock Gardens",3.1233,"Current","Irrigation"," "," ",1747,0,-1053415.09,-2027728.915,0,1,7706,1,"Irrigation",25,42,20,45,37,45,45,52,52,68,74,51,32,40,54,37,69,48,43,47,82.62568158,0,609043.5
"533",6,"Pardoo",0.809,"Current","Irrigation","","",533,0,-1293475.91,-2219175.26,0,1,4510,1,"Irrigation",19,20,20,36,24,32,23,39,24,47,55,33,18,23,25,19,48,24,30,36,101.752,0,157755
"1495",7,"Anna Plains",0,"Tank","McPhee Well"," "," ",1495,0,-1098123.832,-2087393.315,0,1,0,1,"Artificial",23,38,23,35,31,43,37,47,45,50,70,41,27,29,45,25,70,40,33,38,154.7728212,11932.1592318,1770.802416436
"1496",8,"Anna Plains",0,"Tank","Almos Bore"," "," ",1496,0,-1092155.39,-2086327.082,0,1,0,1,"Artificial",22,37,23,35,31,43,37,47,46,50,70,40,27,29,45,25,70,40,34,38,151.2542454,11926.8813681,1765.418995462
"1468",9,"Anna Plains",0,"Tank","Calanjadie Well"," "," ",1468,0,-1096249.442,-2091240.98,0,1,0,1,"Artificial",23,37,23,35,28,43,37,45,44,50,69,38,26,28,45,24,67,37,31,37,157.4301414,11936.1452121,1774.868116342
"1413",10,"Anna Plains",0,"Tank","Nummery Well"," "," ",1413,0,-1097484.626,-2098139.919,0,1,0,1,"Artificial",22,34,22,35,27,41,35,44,42,48,68,38,25,25,41,22,63,34,30,36,164.2135289,11946.32029335,1785.246699217
"1385",11,"Anna Plains",0,"Tank","Bauhinia Bore"," "," ",1385,0,-1092708.061,-2100571.769,0,1,0,1,"Artificial",22,33,20,35,24,41,35,44,43,48,69,34,24,24,43,20,64,35,30,36,164.5415956,11946.8123934,1785.748641268
"1383",12,"Anna Plains",0,"Tank","Cardingy Bore"," "," ",1383,0,-1099620.582,-2103807.182,0,1,0,1,"Artificial",22,33,19,35,24,41,34,44,43,46,71,34,25,24,41,17,63,37,28,37,170.2574101,11955.38611515,1794.493837453
"1385.1",13,"Anna Plains",0,"Tank","No 4 Bore"," "," ",1385,0,-1088335.219,-2102999.269,0,1,0,1,"Artificial",22,33,20,35,24,41,35,44,43,48,69,34,24,24,43,20,64,35,30,36,165.1821463,11947.77321945,1786.728683839
"1383.1",14,"Anna Plains",0,"Tank","Homestead Bore"," "," ",1383,0,-1100717.401,-2106472.8,0,1,0,1,"Artificial",22,33,19,35,24,41,34,44,43,46,71,34,25,24,41,17,63,37,28,37,173.138294,11959.707441,1798.90158982
"1355",15,"Anna Plains",0,"Tank","Pindan Bore"," "," ",1355,0,-1094343.793,-2107075.661,0,1,0,1,"Artificial",22,31,18,34,23,41,34,43,43,46,68,34,24,24,42,17,65,36,28,36,171.1785004,11956.7677506,1795.903105612
"1355.1",16,"Anna Plains",0,"Tank","Yellow Gap Well"," "," ",1355,0,-1097219.872,-2110486.952,0,1,0,1,"Artificial",22,31,18,34,23,41,34,43,43,46,68,34,24,24,42,17,65,36,28,36,175.4292697,11963.14390455,1802.406782641
"1355.2",17,"Anna Plains",0,"Bore","Artesian Bore"," "," ",1355,0,-1097785.444,-2106554.681,0,1,0,1,"Artificial",22,31,18,34,23,41,34,43,43,46,68,34,24,24,42,17,65,36,28,36,172.0305006,11958.0457509,1797.206665918
"1354",18,"Anna Plains",0,"Tank","Rachel Poly"," "," ",1354,0,-1101435.196,-2112534.016,0,1,0,1,"Artificial",23,31,18,35,23,41,36,43,42,48,68,32,24,26,40,15,65,35,27,35,178.9692016,11968.4538024,1807.822878448
"1323",19,"Anna Plains",0,"Tank","Pinchers Poly"," "," ",1323,0,-1105045.329,-2114703.889,0,1,0,1,"Artificial",23,30,19,35,23,39,35,41,42,48,66,32,23,25,40,15,65,35,30,33,182.421435,11973.6321525,1813.10479555
"1353",20,"Anna Plains",0,"Tank","Helen Poly"," "," ",1353,0,-1107458.965,-2110819.828,0,1,0,1,"Artificial",23,30,19,35,23,40,36,41,42,49,69,31,23,25,40,15,66,35,29,35,179.9227878,11969.8841817,1809.281865334
"1323.1",21,"Anna Plains",0,"Tank","Dusty Poly"," "," ",1323,0,-1108231.452,-2114711.968,0,1,0,1,"Artificial",23,30,19,35,23,39,35,41,42,48,66,32,23,25,40,15,65,35,30,33,183.7687689,11975.65315335,1815.166216417
"1321",22,"Anna Plains",0,"Tank","Bevan Fibreglass"," "," ",1321,0,-1112023.761,-2115436.198,0,1,0,1,"Artificial",21,29,21,36,23,37,38,42,42,51,68,36,23,25,39,15,60,36,29,34,186.0715238,11979.1072857,1818.689431414
"1325",23,"Anna Plains",0,"Tank","Poly Tank"," "," ",1325,0,-1092255.522,-2115282.68,0,1,0,1,"Artificial",23,29,18,35,23,41,36,41,42,46,67,31,24,25,41,15,66,35,28,35,178.0582969,11967.08744535,1806.429194257
"1324",24,"Anna Plains",0,"Tank","Poly Tank"," "," ",1324,0,-1098794.258,-2118217.362,0,1,0,1,"Artificial",23,29,18,35,23,39,36,40,42,48,66,31,23,25,40,15,65,35,29,35,183.175845,11974.7637675,1814.25904285
"1293",25,"Anna Plains",0,"Bore","Mono Bore"," "," ",1293,0,-1102705.444,-2118925.621,0,1,0,1,"Artificial",23,30,19,35,23,38,36,41,42,48,65,32,23,25,39,15,64,35,29,33,185.3387713,11978.00815695,1817.568320089
"1292",26,"Anna Plains",0,"Tank","Erinbee Tank"," "," ",1292,0,-1104192.992,-2120151.027,0,1,0,1,"Artificial",22,29,19,36,23,37,37,41,42,49,67,34,23,23,39,14,62,35,30,34,187.0534907,11980.58023605,1820.191840771
"1323.2",27,"Anna Plains",0,"Tank","Top Tank"," "," ",1323,0,-1105212.65,-2116750.701,0,1,0,1,"Artificial",23,30,19,35,23,39,35,41,42,48,66,32,23,25,40,15,65,35,30,33,184.3556374,11976.5334561,1816.064125222
"1323.3",28,"Anna Plains",0,"Tank","2 Mile Tank"," "," ",1323,0,-1107012.982,-2117571.104,0,1,0,1,"Artificial",23,30,19,35,23,39,35,41,42,48,66,32,23,25,40,15,65,35,30,33,185.84659,11978.769885,1818.3452827
"1321.1",29,"Anna Plains",0,"Dam","Ian Turkey Nest"," "," ",1321,0,-1109443.745,-2117997.853,0,1,0,2,"Artificial",21,29,21,36,23,37,38,42,42,51,68,36,23,25,39,15,60,36,29,34,187.2577018,11980.8865527,1820.504283754
