ID,LONG,LAT,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
1,119.1500015,-20.5,24,24,28,34,22,45,35,47,36,38,62,35,19,22,23,20,54,32,29,36
2,119.1999969,-20.5,22,24,29,34,23,43,32,47,37,37,58,35,18,21,24,19,55,33,29,36
3,119.25,-20.5,23,24,30,32,23,41,34,48,38,36,57,34,18,22,27,19,54,34,32,37
4,119.3000031,-20.5,23,23,30,31,24,41,34,50,38,38,55,34,20,23,27,19,53,33,34,38
5,119.3499985,-20.5,24,24,32,34,23,40,33,49,39,39,55,35,20,23,28,20,53,32,35,38
6,119.4000015,-20.5,23,24,31,35,23,40,34,50,40,45,62,34,20,26,30,20,54,30,36,38
7,119.4499969,-20.5,20,23,33,35,25,39,36,51,38,50,66,36,20,28,30,21,55,30,38,39
8,119.5,-20.5,20,26,31,37,26,42,37,50,40,51,69,39,20,29,30,22,55,31,39,42
9,119.5500031,-20.5,21,28,33,36,28,41,37,49,39,51,70,41,21,29,31,21,55,30,39,43
10,119.5999985,-20.5,23,29,34,36,28,41,39,53,38,53,70,40,23,29,30,21,55,30,41,43
11,119.6500015,-20.5,24,31,37,35,28,41,38,54,39,53,71,39,24,29,32,22,55,30,42,45
12,119.6999969,-20.5,24,30,37,35,28,42,37,55,40,53,71,38,25,28,35,22,55,31,43,42
13,119.75,-20.5,24,30,38,35,29,40,36,56,38,54,70,37,25,29,34,23,54,31,41,41
14,119.8000031,-20.5,23,30,40,35,26,36,35,56,39,53,70,39,26,30,34,23,53,34,42,38
15,119.8499985,-20.5,23,30,39,34,27,35,36,56,39,52,70,39,26,29,35,23,52,35,42,40
16,119.9000015,-20.5,23,29,39,33,27,35,35,52,38,50,67,36,25,30,35,23,53,35,41,38
17,119.9499969,-20.5,23,29,36,32,28,33,34,50,38,48,65,36,25,27,35,20,53,35,40,39
18,120,-20.5,23,27,33,32,27,33,33,50,37,51,63,36,25,27,34,19,51,34,40,40
19,120.0500031,-20.5,23,26,30,33,27,33,32,48,35,49,63,36,23,26,37,17,53,32,38,40
20,120.0999985,-20.5,20,25,29,33,25,33,30,48,36,49,59,37,22,26,35,17,53,29,38,40
21,120.1500015,-20.5,20,26,28,34,24,33,30,46,35,49,56,37,22,26,36,18,53,29,36,39
22,120.1999969,-20.5,22,27,27,34,24,34,32,44,36,50,56,38,23,25,36,18,54,27,36,39
23,120.25,-20.5,23,29,27,33,23,36,32,45,39,49,58,37,22,25,36,18,56,26,37,40
24,120.3000031,-20.5,23,31,28,34,26,37,33,43,37,49,58,38,23,28,38,19,55,26,36,39
25,120.3499985,-20.5,23,32,27,33,25,41,35,46,38,49,59,38,24,28,39,19,55,27,37,39
26,120.4000015,-20.5,26,32,29,34,26,42,37,47,39,49,59,39,24,29,38,18,56,27,36,39
27,120.4499969,-20.5,24,30,29,34,26,43,35,47,40,50,59,38,26,31,39,18,56,28,36,38
28,120.5,-20.5,24,30,28,34,26,44,36,46,40,49,60,38,26,31,40,19,58,28,35,38
29,120.5500031,-20.5,24,28,30,34,26,44,39,45,40,50,59,39,25,32,43,21,57,27,36,37
30,120.5999985,-20.5,25,28,31,34,26,43,40,46,42,52,59,38,23,32,44,21,57,26,36,38
31,120.6500015,-20.5,26,26,29,33,26,45,42,49,43,53,61,37,23,31,43,23,58,26,38,37
32,120.6999969,-20.5,25,23,27,30,26,47,42,47,42,51,60,38,25,31,42,25,56,26,36,37
33,120.75,-20.5,24,23,26,30,26,45,41,49,42,50,60,39,25,30,43,26,53,27,35,37
34,120.8000031,-20.5,23,22,23,30,26,45,39,50,42,50,59,40,24,30,42,27,52,28,33,36
35,120.8499985,-20.5,21,22,20,29,27,45,40,47,40,50,56,40,25,30,43,27,52,28,33,36
36,120.9000015,-20.5,20,22,18,28,27,44,38,47,40,49,57,40,22,30,43,26,51,30,34,35
37,120.9499969,-20.5,20,22,17,27,26,44,38,47,40,48,52,39,22,30,44,23,52,28,32,34
38,121,-20.5,20,21,16,27,26,43,38,49,41,47,50,39,22,31,44,23,52,28,29,34
39,121.0500031,-20.5,19,22,16,27,25,41,37,49,42,47,48,39,22,31,43,25,51,28,27,34
40,121.0999985,-20.5,19,22,16,25,24,41,37,49,43,47,48,39,22,31,42,25,51,28,27,34
41,121.1500015,-20.5,19,22,16,25,24,41,37,49,41,47,47,39,22,32,43,26,54,29,27,34
42,121.1999969,-20.5,19,22,16,25,24,41,37,50,41,45,47,39,23,32,43,27,54,30,27,34
43,121.25,-20.5,19,22,16,25,24,41,35,49,41,45,48,39,24,32,43,27,54,30,27,33
44,121.3000031,-20.5,19,22,16,26,24,42,35,50,43,45,49,40,24,32,43,27,55,30,27,36
45,121.3499985,-20.5,22,22,16,27,24,43,39,52,44,47,53,40,24,34,44,25,58,31,32,36
46,121.4000015,-20.5,22,23,18,29,26,45,39,50,44,52,60,44,31,35,47,26,61,32,34,36
47,121.4499969,-20.5,22,24,20,33,28,47,42,53,45,55,65,44,34,35,47,29,65,33,36,38
48,121.5,-20.5,24,25,23,37,28,50,43,58,48,58,69,44,35,36,46,26,66,36,37,39
49,121.5500031,-20.5,25,28,25,37,30,51,46,61,48,60,74,44,38,36,46,24,69,36,38,41
50,121.5999985,-20.5,25,28,28,38,30,51,49,64,49,62,74,44,40,36,48,24,72,37,39,42
51,121.6500015,-20.5,23,28,28,39,32,52,50,66,52,64,77,46,39,36,49,24,72,37,40,42
52,121.6999969,-20.5,24,29,30,40,32,53,50,66,52,65,78,47,38,37,51,25,73,37,40,41
53,121.75,-20.5,24,30,31,41,33,54,49,67,53,65,78,46,38,36,54,25,76,38,40,42
54,121.8000031,-20.5,24,31,30,42,34,53,50,67,54,65,78,48,40,37,55,25,76,37,42,43
